Pizzeria,Style,Rating,Notes,Date Time,State,Location,Image
&pizza - Dupont,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.906351639895284, -77.04122570935567",
&pizza - E Street,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.89630674767983, -77.02637050458111",
&pizza - Barracks Row,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.88350031985225, -76.99523679571624",
&pizza - U Street,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.91677130235951, -77.0292395527263",
&pizza - Chinatown,Fast Casual,4,great for what it is. best fast casual chain i've tried.,,DC,"38.89997799759951, -77.02229733102595",
90 Second Pizza,Neapolitan,4,fantastic crust but cheese leaves something to be desired,,DC,"38.9047801, -77.0625963",Pizza_Images/412c583a.Image.054736.jpg
All Purpose - Navy Yard,,3,whole wheat flour in the dough is unforgivable,6/10/2018 8:39:00,DC,"38.8710332, -77.0065151999999",Pizza_Images/All Purpose.Image.043858.jpg
Andy's - Shaw,New York,5,Light and crispy crust. only NY style in DC area remotely competitive with NYC offerings,4/6/2020 21:28:00,DC,"38.9175168, -77.0242074999999",Pizza_Images/Andy-s.Image.023701.jpg
Angelico Pizzeria,New York,3,generous 3. just not a very good flavor. but at least not overloaded with cheese or with a super thick crust...,,DC,"38.920555, -77.071727",Pizza_Images/Angelico Pizzeria.Image.190307.jpg
Aslin - Alexandria,Hybrid,4,crust a bit too sourdough-y and thick. and not enough sauce. but overall good. ,,VA,"38.8042185, -77.138262",
Boogy and Peel,Neapolitan,4,"crust quite good. cheese good, I think a lot of provolone in there. needs more sauce. And honestly crust too thin. Best element, but thinness masks this. Second visit- okay, crust is way too thin. and too much provo",,DC,"38.9090754, -77.0444828999999",Pizza_Images/Boogy and Peel.Image.005357.jpg
Colony Grill,Bar,4,"super thin bar pie. tasty and good value. crust is probably the highlight. sauce and cheese work but nothing to write home about

Repeat visit: excellent sausage. Hot oil good.",,VA,"38.887758, -77.0928076",Pizza_Images/Colony Grill.Image.231217.jpg
Glen's Garden Market,Hybrid,3,"Has potential. Particularly crust. Tomatoes were a bit acidic, cheese was good quality but too much quantity. And man oh man that was a lot of cornmeal. I've never had a pizza that actually tasted like corn before. ",,DC,"38.9144185, -77.0451312",
DC Pizza,Fast Casual,3,"&pizza knockoff (or is it the reverse?). same ovens, dough prep, shape. enjoyable, but probably a slight step down from &. however, pies are a bit larger and they seem to be a bit more generous with toppings. ",,DC,"38.9040519, -77.0431914",
DC Stone PIzza,Jumbo Slice,2,,,DC,"38.9171281, -77.034793",
Declaration,,1,unbelievably bad. cheese was clearly pre-shredded and not even fully melted,,DC,"38.8758267, -77.0061048999999",
Dominos - Dupont Circle,,3,consistent,,DC,"38.902819626247094, -77.04608089819588",
Duccini's,Jumbo Slice,3,decent for what it is,,DC,"38.9167961, -77.0412156",Pizza_Images/Duccini-s.Image.023313.jpg
Dupont Pizza,New York,3,crust is better than expected. decent attempt at ny style instead of the weird spongey 'jumbo slice' standard. but sauce and cheese disappointing. sauce had a bit of a weird flavor - roasted red pepper?,,DC,"38.9095265, -77.0453182999999",
Emmy Squared - Shaw,Detroit,5,,,DC,"38.916518, -77.0231878",Pizza_Images/Emmy squared.Image.025745.jpg
Flippin Pizza,New York,3,Crust is passable but sauce and cheese leave a lot to be desired. cheese is low quality and too much Italian seasoning in the sauce. ,,DC,"38.913913, -77.0454951",
